name=RTK_primaries;context=kanji;reversible=False;ordered=True,,,,,,,
meaning,primaries,index,kanji,strokes,kunyo,onyo,hook
fish,"*bound up, rice field, *flames",183,魚,11,ギョ,さかな　　うお,"First, 'bind up' a FISH, hurl the inedible guts on the 'rice field' for fertiliser, and cook what's left on the 'fire' for a delicious fishy dinner."
fishing,"water, fish",184,漁,14,ギョ　　リョウ,,"Before one can enjoy a 'fish', one must first catch it from the 'water' - this is what we call FISHING."
ri; *computer,"rice field, *land",185,里,7,リ,さと,"The traditional measure of 'land' is based on the size of a 'rice field' - the RI. As a primitive, though, this character is a pictograph of a *computer."
black,"*computer, *flames",186,黒,11,コク,くろ　　くろ・い,Hurl your 'computer' on the 'fire' to watch it go BLACK.
black ink,"black, soil",187,墨,14,ボク,すみ,BLACK INK is naturally made out of 'black' 'soil'.
carp,"fish, *computer",188,鯉,18,,こい,Would it surprise you to know that CARP are quite intelligent? They are essentially 'fish' 'computers'.
quantity,"nightbreak, ri",189,量,12,リョウ,はか・る,"Every day, we are gifted a QUANTITY of time measured from 'nightbreak' to nightbreak, and a QUANTITY of space measured by the traditional 'ri'."
rin,"*cliff, *computer",190,厘,9,リン,,"A 'computer' hurled from a 'cliff' has the value of around one RIN, no more."
bury,"*dirt, *computer",191,埋,10,マイ,う・める　　う・まる　　う・もれる,Imagine hurling a little 'soil' over your faithful 'computer' to give it a proper BURIAL after it bluescreens.
*hood; *glass canopy; *cowl; *helmet,_primary,191a,,2,,,
same; *monk,"*hood, one, mouth",192,同,6,ドウ,おな・じ,"This depicts a monastic 'hood' over 'one' 'mouth', suggesting the SAME -ness and conformity of a *monk's life."
den,"water, *monk",193,洞,9,ドウ,ほら,"In their 'watery' DEN, a cluster of heretical 'monks' gather."
trunk,"*flesh, *monk",194,胴,10,ドウ,,Heresy was once punished by the removal of  limbs: hence the TRUNK is known morbidly as 'flesh' of the 'monk'.
yonder,"*a drop of, *helmet, mouth",195,向,6,コウ,む・く　　む・ける　　む・かう　　む・こう,A 'helmet' with only a 'mouth' inside gestures over YONDER at the little 'drop' that is the strange visitor's downed spaceship.
esteem,"little, *glass canopy",196,尚,8,ショウ,,"The ancients ESTEEMED the 'mouths' of their ancestors, constructing 'little' glass 'canopies' to house them."
*house,"*a drop of, *crown",196a,,3,,,
character,"*house, child",197,字,6,ジ,あざ,"Both a 'child's' CHARACTER, and the CHARACTERS by which they are known, are gifted them by their 'house'."
guard,"*house, *glue",198,守,6,シュ　　スr,まも・る　　もり,The most efficient GUARDS are those that are physically 'glued' by your 'house'.
perfect,"*house, beginning",199,完,7,カン,,Fastidious Japanese builders always ensure the 'beginning' of every 'house' is PERFECT.
proclaim,"*house, span",200,宣,9,セン,,PROCLAIM your message from the 'housetops' so that it 'spans' the world.
wee hours,"*house, *candle",201,宵,10,ショウ,よい,The WEE HOURS are depicted by a 'house' with a single 'candle' inside.
relax,"*house, woman",202,安,6,アン,やす・い,The picture of RELAXATION is a 'woman' at 'home' with no men around to bother them.
banquet,"*house, day, woman",203,宴,10,エン,,"In the old days, a 'woman' was expected to toil all 'day' in the 'house' to prepare a BANQUET for the men."
draw near,"*house, strange",204,寄,11,キ,よ・せる　　よ・る,Imagine DRAWING NEAR to a 'strange' haunted 'house'.
wealth,"*house, *wealth",205,富,12,フ　　フウr,と・む　　とみ,This kanji depicts WEALTH concentrated under the roof of a single 'house'.
savings,"shellfish, *house, *nail",206,貯,12,チョ,,Poor families once kept their SAVINGS in the form of strings of 'shells' hung from a 'nail' in the rafters of the 'house'.
tree,_primary,207,木,4,モク　　ボク,き　　こr,"It's a TREE - branches, trunk, and roots. As a primitive, it suggests *wood; with the roots separated from the trunk, it represents a wooden *pole."
*pole,"tree, _detached",207a,,4,,,
grove,"tree, tree",208,林,8,リン,はやし,A GROVE is simply a cluster of 'trees'.
forest,"tree, tree, tree",209,森,12,シン,もり,"A FOREST is depicted by 'trees', trees, everywhere."
Japanese Judas-tree,"tree, *ivy",210,桂,10,ケイ,かつら,The JUDAS TREE is so-called because the 'ivy' hangs from the 'tree' like a noose.
oak,"tree, white",211,柏,9,,かしわ,"A 'white bird' sitting in a 'tree' represents the majestic OAK, a symbol of hope for a healthier ecology."
frame,"tree, nine, ten",212,枠,8,,わく,A FRAME is made using bits of 'wood' joined at 'nine' - 'ten' degree angles.
treetops,"tree, *candle",213,梢,11,ショウ,こずえ,Traditionally the TREETOPS of the 'trees' are festooned with 'candles' at Christmas.
shelf,"tree, companion",214,棚,12,,たな,A SHELF is a 'wood' 'companion' with the books that usually sit on them.
apricot,"tree, mouth",215,杏,7,アン,あんず,APRICOTS are best eaten fresh - caught in the 'mouth' as they fall from the 'tree'.
paulownia,"tree, *monk",216,桐,10,トウ,きり,"The PAULOWNIA is St. Paul's 'tree', depicted with a 'monk' to one side."
plant,"tree, straightaway",217,植,12,ショク,う・える 　う・わる,The best way to PLANT a 'tree' is to put it in the earth 'straightaway'.
chair,"tree, strange",218,椅,12,イ,,"The first CHAIRS grew naturally, albeit rarely, and were known as 'strange' 'trees'."
wither,"tree, old",219,枯,9,コ,か・らす　　か・れる,The picture of WITHERING is an 'old' person watching a single 'tree' out the window of their nursing home.
crude,"tree, magic wand",220,朴,6,ボク,,The most effective 'magic wands' are as CRUDE as the 'trees' they are hewn from.
village,"tree, *glue",221,村,7,ソン,むら,A rustic VILLAGE is demarcated by a fence of 'trees' 'glued' together around it.
inter-,"tree, eye",222,相,9,ソウ　　ショウ,あい,Take the 'tree' out of your own 'eye' before plucking them out of others - a roadmap for INTER- personal relationships.
desk,"tree, *wind",223,机,6,キ,つくえ,"Imagine a DESK hewn out of a 'tree' - picturesque, but the 'wind' blows all your notes away!"
book,"tree, one",224,本,5,ホン,もと,The first BOOKS were nothing but 'slices' of 'trees'.
tag,"tree, *fishhook",225,札,5,サツ,ふだ,The species of Japanese 'trees' can be read off the TAGS the gardeners hang from 'fishhooks' embedded in the wood.
calendar,"*cliff, grove, day",226,暦,14,レキ,こよみ,"One natural CALENDAR might be a 'grove of trees' growing day by 'day' until they eventually tumble off a 'cliff', allowing a new grove to rise."
plan,"*house, woman, tree",227,案,10,アン,,What better than to 'relax' in a hammock strung from a 'tree' while you PLAN what to do with your day off.
parch,"fire, goods, tree",228,燥,17,ソウ,,Parchment is formed by holding pulp ('wood' 'goods') before a 'fire' until the pulp is fully PARCHED.
not yet,"one, tree",229,未,5,ミ,,This 'tree' is NOT YET fully grown - its upper branches are too short.
obscure,"sun, not yet",230,昧,9,マイ,,That which is OBSCURE is that which has 'not yet' been brought into the 'sun'.
extremity,"one, tree",231,末,5,マツ　　バツ,すえ,A 'tree' with a fully developed canopy has reached the EXTREMITY of its growth.
splash,"water, extremity",232,沫,8,マツ,,A SPLASH is the 'extremity' of 'water' after it has raced as a wave across the world.
flavour,"mouth, not yet",233,味,8,ミ,あじ　　あじ・わう,"When a tree is 'not yet' fully grown, it achieves the most 'mouth'-watering FLAVOUR."
younger sister,"woman, not yet",234,妹,8,マイ,いもうと,The YOUNGER SISTER in the family is the 'woman' who is 'not yet' able to do all her elder sister can.
vermilion,"*a drop of, not yet",235,朱,6,シュ,,The last leaf of autumn hangs in bright VERMILION: a 'drop' of colour affirming that winter has 'not yet' come.
stocks,"tree, vermilion",236,株,10,,かぶ,"Nature's STOCKS are not blue-chip, but 'tree' 'vermilion'."
flower,_primary,236a,,3,,,
young,"flower, right",237,若,8,ジャク　　ニャクr,わか・い　　も・しくわ,Did you know that 'flowers' picked with the 'right' hand grant eternal YOUTH - while those picked with the left bring senility...
grass,"flower, early",238,草,9,ソウ,くさ,"In 'early' spring, 'flowers' bloom amid the blades of GRASS."
suffering,"flower, old",239,苦,8,ク,くる・しい　　くる・しむ　　くる・しめる　　にが・い　　にが・る,SUFFERING is the picture of a beautiful 'flower' that has grown 'old'.
bullying,"flower, can",240,苛,8,カ,,A gift of 'flowers' 'can' be a form of BULLYING if they are unwanted.
tolerant,"*house, flower, see",241,寛,13,カン,,"To become more TOLERANT, you must learn to 'see' beyond your 'house' of 'flowers' (i.e. your hothouse)."
dilute,"flower, water, *acupuncturist",242,薄,16,ハク,うす・い　　うす・める　　うす・まる　　うす・らぐ　　うす・れる,"To DILUTE the blood, an 'acupuncturist' plants little 'flowers' across your body that pump you full of healthy 'water'."
leaf,"flower, generation, tree",243,葉,12,ヨウ,は,"The movement of a 'tree' from one 'generation' to the next is like the turning over of a new LEAF. Also, leaves provide the nutrients to generate flowers."
graveyard,"flower, sun, St. Bernard dog",243a,,10,,,
imitation,"tree, graveyard",244,模,14,ボ　　モ,,See the modern 'graveyard' with IMITATION 'trees' for municipal convenience.
vague,"water, graveyard",245,漠,13,バク,,"Heavy 'water' in the air of the 'graveyard' gives it an ominous, VAGUE appearance."
grave,"graveyard, soil",246,墓,13,ボ,はか,A GRAVE is nothing but the 'soil' under a 'graveyard'.
livelihood,"graveyard, day",247,暮,14,ボ,く・らす　　く・れる,One who spends their 'days' in a 'graveyard' enjoys a LIVELIHOOD on the departed's deadlihood.
membrane,"*flesh, graveyard",248,膜,14,マク,,"The 'part of the body' affected by a stroll through a 'graveyard' is one's MEMBRANE, i.e. skin."
seedling,"flower, *brains",249,苗,8,ビョウ,なえ　　なわr,Think of ideas being planted into the 'brain' as SEEDLINGS so that virtue may eventually 'flower'.
portent,_primary,250,兆,6,チョウ,きざ・し　　きざ・す,"A turtle shell with marks on the inside represents a traditional Chinese oracular PORTENT: but as a primitive, when only half's provided, it's often just a *turtle."
*turtle,"portent, _beside",250a,,3,,,
peach tree,"tree, portent",251,桃,10,トウ,もも,"Think of Momotaro, the PEACH TREE boy, whose arrival 'portended' ill for those who found him - hence the 'tree' has an undeserved poor reputation."
stare,"eye, portent",252,眺,11,チョウ,なが・める,To STARE at someone is to give them an 'eye' of 'portent' - the evil eye.
dog; *chihuahua,"*St. Bernard dog, *a drop of",253,犬,4,ケン,いぬ,A SMALL DOG is a mere 'drop' of a 'St. Bernard' dog.
*a pack of wild dogs,"dog, _beside",253a,,3,,,
status quo,"*turtle, *chihuahua",254,状,7,ジョウ,,"When the 'turtle' fell madly in love with the 'chihuahua', their love threatened to upset the STATUS QUO."
silence,"black, *chihuahua",255,黙,15,モク,だま・る,"Hello Darkness my old friend... who is in fact a 'black' 'chihuaua', symbol of the sound of SILENCE."
sort of thing,"*flesh, *chihuahua, *flames",256,然,12,ゼン　　ネン,,The 'flesh' of a 'chihuahua' chucked on a 'fire' makes for a doggy-stew SORT OF THING.
reed,"flower, *a pack of wild dogs, fire",257,荻,10,,おぎ,"As a 'pack of wild dogs' chases you through the REEDS, consider setting them on 'fire' to save yourself."
hunt,"*a pack of wild dogs, guard",258,狩,9,シュ,か・る　　か・り,"When you go HUNTING, don't forget to 'guard' your take from 'wild dogs' - a word of advice embedded in the very character for the hunt."
cat,"*a pack of wild dogs, seedling",259,猫,11,ビョウ,ねこ,Folklore speaks of a clever 'pack of wild dogs' who planted CAT 'seedlings' so they would always have something to chase.
cow,_primary,260,牛,4,ギュウ,うし,"This COW has been made roadkill - its 'drop' of a head is turned to one side, and its four legs and tail are splayed out."
special,"cow, Buddhist temple",261,特,10,トク,,The 'cow' roaming free in the 'temple' is the picture of SPECIAL status.
revelation,"cow, mouth",262,告,7,コク,つ・げる,"In ancient times, REVELATION often came magically from the 'mouths' of sacred 'cows'."
before,"cow, *human legs",263,先,6,セン,さき,"BEFORE there were humans, there were 'cows' with 'human legs'."
wash,"water, before",264,洗,9,セン,あら・う,"In a religious procession, 'water' is always cast 'before' the congregants to ritually WASH the site."
*umbrella,_primary,264a,,2,,,
jammed in,"*umbrella, *walking stick, *walking stick",265,介,4,カイ,,Imagine two dinner-goers fighting over a 'walking stick' and an 'umbrella' JAMMED IN to the stand by the door and unable to budge.
world,"rice field, jammed in",266,界,9,カイ,,This WORLD of booming population must be increasingly 'jammed in' with 'rice fields' to feed everyone.
tea,"flower, *umbrella, tree",267,茶,9,チャ　　サ,,Imagine little 'umbrellas' atop long wooden 'poles' to protect the aromatic TEA 'flowers' as they bloom.
spinal column,"*umbrella, two, two, *flesh",268,脊,10,セキ,,"Imagine your SPINAL COLUMN erupting out of your 'flesh,' sprouting little ribs to form an 'umbrella' over you wherever you go."
*meeting,"*umbrella, *floor",268a,,3,,,
fit,"*meeting, mouth",269,合,6,ゴウ　　ガッ　　カッr,あ・う　　あ・わす　　あ・わせる,"Outside the 'meeting', clamorous 'mouths' protest their exclusion, but alas, they simply will not FIT."
pagoda,"soil, flower, fit",270,塔,12,トウ,,The first PAGODAS were made of terraces of 'soil' planted with 'flowers' tightly 'fit' together.
king; *sceptre; *ball,_primary,271,王,4,オウ,,"The KING is drawn like the chess piece, or like a king's sceptre."
jewel; *ball,"*sceptre, *a drop of",272,玉,5,ギョク,たま,"The 'drop' by the 'king's' side clearly denotes a priceless JEWEL, or some other regal *ball of some kind."
treasure,"*house, jewel",273,宝,8,ホウ,たから,TREASURE is the 'jewels' kept in one's 'house'.
pearl,"*ball, vermilion",274,珠,10,シュ,,"A PEARL is imagined as a massive 'ball' of 'vermilion', too hefty to wear, though you try nonetheless."
present,"*ball, see",275,現,11,ゲン,あらわ・す　　あらわ・れる,The PRESENT encompasses all that can be 'seen' through a magic crystal 'ball'.
toy,"*ball, beginning",276,玩,8,ガン,,"If Toys R Us, the archetypal 'ball' must have been there at the 'beginning', the progenitor of all TOYS."
lunatic,"*a pack of wild dogs, king",277,狂,7,キョウ,くる・う　　くる・おしい,The original LUNATIC is the werewolf who thinks himself 'king' of a 'pack of wild dogs'.
effulgent,"sun, king",278,旺,8,オウ,,The 'sun' 'king' is the picture of EFFULGENCE.
emperor,"white, king",279,皇,9,コウ　　オウ,,"An EMPEROR is a 'king' of higher status: see the 'white bird' perched above them, ferrying messages between them and their gods."
display,"mouth, king",280,呈,7,テイ,,"Four and twenty blackbirds, goes the rhyme: now picture the 'king' with his 'mouth' wide open. Wasn't this a dainty dish to DISPLAY before the king?"
wholeness; whole,"*umbrella, king",281,全,6,ゼン,まった・く　　すべ・て,"WHOLENESS is being a 'king' under your own 'umbrella', safe from the weather and complete unto yourself."
plug,"tree, *umbrella, *ball",282,栓,10,セン,,"Think of a 'tree' with a faucet in it spewing out hundreds of tennis 'balls'. What would you use to PLUG this 'whole'? Why, an 'umbrella', of course!"
logic,"jewel, *computer",283,理,11,リ,,LOGIC is the great 'jewel' in the heart of every 'computer'.
lord; *candlestick,"*a drop of, king",284,主,5,シュ　　スr,おも　　ぬし,A LORD is merely a 'drop' of a 'king': but this kanji also represents a lit *candlestick.
pour,"water, *candlestick",285,注,8,チュウ,そそ・ぐ,"Take up that lit 'candlestick' and POUR 'water' from it - absurd, but memorable."
pillar,"tree, *candlestick",286,柱,9,チュウ,はしら,A 'tree' 'candlestick' is a decorative PILLAR to go before your home.
gold; *metal,"*umbrella, king, *a drop of, *a drop of",287,金,8,キン　　コン,かね　　かなr,"Under a protective 'umbrella' to keep impurities out, priceless 'candlesticks' are melted down 'drop' by 'drop' to create GOLD, or perhaps some other *metal."
pig iron,"*metal, before",288,銑,14,セン,,PIG IRON is 'metal' 'before' it has been refined.
bowl,"gold, book",289,鉢,13,ハチ　　ハツr,,Blend all your 'books' in a 'golden' BOWL to create an elixir of wisdom.
copper,"*metal, *monk",290,銅,14,ドウ,,"Because they are so poor, COPPER is the 'gold' of the 'monks' - i.e., copper is monk-metal."
angling,"gold, ladle",291,釣,11,チョウ,つ・る,ANGLING is fishing for fun - and what could be more fun than scooping up 'gold'-fish with a 'golden' 'ladle'.
needle,"gold, *needle",292,針,10,シン,はり,The kanji for NEEDLE is a set of 'gold' knitting 'needles'.
inscription,"gold, name",293,銘,14,メイ,,"An INSCRIPTION is a 'gold' 'name' - like the names of lost ancestors at the war memorial, inscribed in stone and finished with beautiful gold leaf."
tranquilise,"*metal, true",294,鎮,18,チン,しず・める　　しず・まる,The 'golden' 'truth' of the Buddha promises limitless TRANQUILITY.
*road,_primary,294a,,3,,,
road-way,"neck, *road",295,道,12,ドウ　　トウr,みち,The 'roads' that make up our ROAD-WAYS are all-too-prone to bottle 'necks'.
guidance,"road-way, measurement",296,導,15,ドウ,みちび・く,"When we follow someone's GUIDANCE, we permit ourselves to be 'glued' to a certain 'road' of doing something and 'sticking' to it."
*crossing,"*cross, *road",297,辻,5,,つじ,A CROSSING is a 'cross' 'road' - or rather a road-cross.
swift,"*fishhook, *crossing",298,迅,6,ジン,,The famous 'hook' turns of Melbourne are far SWIFTER than the 'crossings' of other cities.
create,"revelation, *road",299,造,10,ゾウ,つく・る,"The 'road' to 'revelation' (the Bible) begins with Genesis, the story of CREATION."
urge,"white, *road",300,迫,8,ハク,せま・る,"To URGE someone to do something, you make the 'road' as appealing as possible - perhaps even 'white' washing it a little."
escape,"*turtle, *road",301,逃,9,トウ,に・げる　　に・がす　　のが・す　　のが・れる,"What could be more memorable than that poor 'turtle' trying to ESCAPE, step by little step on the long 'road' to freedom."
environs,"*dagger, *road",302,辺,5,ヘン,べ　　あた・り,Protect your ENVIRONS by planting 'daggers' in the 'roads' - blade up!
patrol,"*flood, *road",303,巡,6,ジュン,めぐ・る,A virtual 'flood' of motorcycle cops washing down the 'road' is this kanji's image for PATROL.
car; *cart; *wagon; *vehicle,"ten, rice field, ten",304,車,7,シャ,くるま,A pictograph of a CAR - see the two axels and four seats?
take along,"car, *road",305,連,10,レン,つら・なる　　つら・ねる　　つ・れる,Imagine TAKING ALONG all your friends on a long 'car' trip along a long 'road'.
rut,"car, base*ball",306,軌,9,キ,,"There are two sense of the word RUT - a 'car' stuck in a muddy rut, and a 'baseball' team stuck in a losing rut."
butcher,"*flesh, *sabre",306a,,6,,,
meeting of butchers,"*meeting, butcher",306b,,8,,,
transport,"car, meeting of butchers",307,輸,16,ユ,,The image for TRANSPORT is a 'car' going to a 'meeting' of 'butchers' (flesh-sabres).
metaphor,"mouth, meeting of butchers",308,喩,12,ユ,,Butchers' at those infamous 'butcher's meetings' are known for butchering METAPHORS with their bloody 'mouths'.
in front,"*horns, butcher",309,前,9,ゼン,まえ,"Traditionally, before a 'butcher' commences his work, he sets the severed 'horns' of the animal IN FRONT of him - to gloat (or rather, to goat), one presumes."
roast,"in front, *flames",310,煎,13,セン,い・る,"Think of ROASTING the guest of honour at a party - literally, 'in front' of an 'oven fire'."
*walking legs,_primary,310a,,3,,,
each,"*walking legs, mouth",311,各,6,カク,おのおの,"At the Ministry of Silly 'Walking Legs', the motto is to EACH his own. Here we see someone with their 'mouth' between their 'walking legs', living out this mantra."
status,"tree, each",312,格,10,カク　　コウr,,Each' 'tree' in Japan is really a STATUS symbol for each daimyo planting them.
graft,"shellfish, each",313,賂,13,ロ,,"When GRAFT is rampant, there are plenty of 'shells' (money) for 'each' and every official to snuffle up for themselves."
abbreviation,"rice field, each",314,略,11,リャク,,Each' 'field' has its own idiosyncratic ABBREVIATIONS.
guest,"*house, each",315,客,9,キャク　　カク,,"When you are a GUEST in a courteous town, 'each' 'house' hold has its own way of welcoming you, and 'each' 'house' becomes your own."
forehead,"guest, *head",316,額,18,ガク,ひたい,"When a 'guest' is in, it is polite to avert your gaze upward toward the FOREHEAD - hence that part of the anatomy is known as the 'guest' 'head'."
summer,"*head, *walking legs",317,夏,10,カ　　ゲr,なつ,"In SUMMER, our 'heads' droop between our 'walking legs', or rather our 'dragging legs'."
dispose,"*walking legs, *wind",318,処,5,ショ,,"To DISPOSE of something, give it a good kick with your 'walking legs' and watch it sail away on the 'wind'."
twig,"*walking legs, tree",319,条,7,ジョウ,,Pinocchio had two 'tree' TWIGS for his 'walking legs'.
fall,"flower, water, each",320,落,12,ラク,お・ちる　　お・とす,"Each' thing FALLS in its own way - the 'blossom' wafting gently, the 'water' plopping noisily."
*crown,_primary,320a,,2,,,
superfluous,"*crown, *weather vane",321,冗,4,ジョウ,,A simple 'weather vane' has no need for a decorative 'crown' - it would be SUPERFLUOUS.
Hades,"*crown, day, six",322,冥,10,メイ　　ミョウ,,"The making of HADES was the 'crowning' achievement of the 'sixth' 'day' of creation, according to Znapfian mythology."
army; *chariot,"*crown, car",323,軍,9,グン,,"The 'crowned' 'vehicle' here depicts a *chariot, symbol of a great ARMY."
radiance,"ray, *chariot",324,輝,15,キ,かがや・く,The kanji for RADIANCE depicts a 'ray' emitted from a gleaming 'chariot'.
carry,"*chariot, *road",325,運,12,ウン,はこ・ぶ,"Swing low, sweet 'chariot', down our 'road', comin' for to CARRY me home."
*crown,"*crown, beginning, *glue",326,冠,9,カン,かんむり,The CROWN passing from one age to the next keeps the people 'glued' to their 'beginnings'.
dream,"flower, eye, *crown, evening",327,夢,13,ム,ゆめ,Flower' 'eyes' 'crown' the 'evening' - we could only be talking about a DREAM.
*top hat,_primary,327a,,2,,,
*whirlwind,"*top hat, *wind",327b,,4,,,
pit,"soil, *whirlwind",328,坑,7,コウ,,A 'whirlwind' drilling into the 'soil' will eventually dig a PIT.
tall,"*top hat, mouth, *hood, mouth",329,高,10,コウ,たか・い　　たか　　たか・まる　　たか・める,"An extraterrestrial swaps their 'hood' for a 'top hat', only to find it makes one conspicuously TALLER than one's fellow aliens. The two 'mouths' denote the two aliens in their respective headgear."
*tall,"tall, _over",329a,,5,,,
receive,"*tall, child",330,享,8,キョウ,,"Tall' 'children' RECEIVE more attention - and more nourishment - than others, hence their prodigious growth."
cram school,"receive, round, *dirt",331,塾,14,ジュク,,"At CRAM SCHOOL, the studious look longingly out the window onto the school 'grounds' at the 'tall' athletic kids and lazy 'fat' kids enjoying the afternoon in their respective fashions."
mellow,"receive, round, *flames",332,熟,15,ジュク,う・れる,The 'tall' and 'fat' kids are put on an 'oven fire' to MELLOW out and return to the typical life of a student.
pavilion,"*tall, *crown, *nail",333,亭,9,テイ,,"No World Expo PAVILION would be complete without a monstrous revolving restaurant - a 'tall' 'crowned' 'nail' blighting the skyline, though mercifully not for long."
capital,"*tall, little",334,京,8,キョウ　　ケイ,,Think of a CAPITAL and one thinks of 'tall' skyscrapers dwarfing 'little' people. The meeting of 'tall' and 'little' - that's the CAPITAL.
refreshing,"water, capital",335,涼,11,リョウ,すず・しい　　すず・む,"How REFRESHING is it when the 'water' (rains) come over the sultry 'capital' after a hot, crowded day."
scenery,"sun, capital",336,景,12,ケイ,,What could be more SCENIC than the 'sun' over the 'capital' city?
whale,"fish, capital",337,鯨,19,ゲイ,くじら,"The Znapfians imagine WHALES as 'fish' 'capitals', presuming all the swallowed 'fishes' get their act together."
*lidded crock,"soil, mouth",337a,,6,,,
cottage,"*umbrella, *lidded crock",338,舎,8,シャ,,"A 'lidded crock' under an 'umbrella' is an imaginative design for a modern COTTAGE, fusing old and new."
circumference; *lap,"*helmet, *lidded crock",339,周,8,シュウ,まわ・り,"Look closely at the lid of your 'lidded crock' and see little etchings, which you can use to find the CIRCUMFERENCE of your 'motorcycle helmet'. Has the added primitive significance of a *lap, say around an oval."
week,"*lap, *road",340,週,11,シュウ,,Picture a circular 'road' with seven markers - one 'lap' will circumscribe a WEEK.
gentleman; *samurai,"ten, *floor",341,士,3,シ,,"This kanji, with a shorter line at the bottom than the similar-looking 'soil', represents an upstanding GENTLEMAN - what in former times was a *samurai."
good luck; *aerosol can,"*samurai, mouth",342,吉,6,キチ　　キツ,,"Samurai' down on their luck used to stand on street corners with their 'mouths' wide open, bidding bystanders to slot coins inside for GOOD LUCK. As a primitive, the short bottom line gives the sense of a tightly sealed vessel like an *aerosol can."
robust,"*turtle, *samurai",343,壮,6,ソウ,,What could be more ROBUST than a 'turtle' turned 'samurai' (or perhaps 'ninja'?)
villa,"flower, *turtle, *samurai",344,荘,9,ソウ,,The VILLA pictured here boasts a garden of exotic 'flowers' guarded by 'robust' turtle samurai.
sell,"*samurai, *crown, *human legs",345,売,7,バイ,う・る　　う・れる,A 'samurai' out of work goes door-to-door selling clockwork toys: wind-up 'crowns' with frantic 'human legs'.
*schoolhouse,"*a drop of, *a drop of, *house",345a,,5,,,
study,"*schoolhouse, child",346,学,8,ガク,まな・ぶ,A 'child' in a 'schoolhouse' is expected to STUDY - whether they learn anything is another matter.
memorise,"*schoolhouse, see",347,覚,12,カク,おぼ・える　　さ・ます　　さ・める,One goes to a 'schoolhouse' to MEMORISE things by 'seeing' them repeatedly.
flourish,"*schoolhouse, tree",348,栄,9,エイ,さか・える　　は・え　　は・える,At the 'schoolhouse' it is hoped one will FLOURISH into a 'tree' of learnings.
*brush,_primary,348a,,6,,,
write,"*brush, *tongue wagging in the mouth",349,書,10,ショ,か・く,The act of WRITING is like attaching a 'brush' to your 'wagging tongue'.
haven,"water, *brush",350,津,9,シン,つ,"Seeing the tiny boats of poor mortals tossed in the stormy sea, the All-Merciful took its 'brush' and painted inlets of 'water' to provide safe HAVEN."
*taskmaster,_primary,350a,,4,,,
breed,"cow, *taskmaster",351,牧,8,ボク,まき,"When it's time to BREED new cattle, the 'taskmaster' forces the 'cow' into a compromising position, so to speak."
aggression,"craft, *taskmaster",352,攻,7,コウ,せ・める,The special 'craft' of successful 'taskmasters' is AGGRESSION against their charges.
failure,"*clam, *taskmaster",353,敗,11,ハイ,やぶ・れる,The 'taskmaster' acknowledges the FAILURE of a 'clam' to open up and yield its contents.
a sheet of,"tree, *taskmaster",354,枚,8,マイ,,"A 'taskmaster' whips a 'tree', yielding SHEETS of bark as a byproduct."
happenstance,"old, *taskmaster",355,故,9,コ,ゆえ,"Like it or not, HAPPENSTANCE is the 'oldest' 'taskmaster' of them all, and the most relentless."
awe,"flower, phrase, *taskmaster",356,敬,12,ケイ,うやま・う,"Standing in AWE of someone, you are wont to use 'flowery' 'phrases', which your elocution 'taskmaster' labours in vain to beat out of you."
say; *saying; *speech; *words,"one, one, one, one, mouth",357,言,7,ゲン　　ゴン,い・う　　こと,"Of all the things you do with your 'mouth', to SAY things is the most challenging, hence the four lines of sound. Has the primitive meaning of *speech or *word."
admonish,"awe, *words",358,警,19,ケイ,,"When your superior ADMONISHES you, your 'awe' likely restricts you to meaningless honorifics, while your superior has the advantage of plain and direct 'words'."
plot,"*words, *needle",359,計,9,ケイ,はか・る　　はか・らう,"A book's PLOT comprises the 'words' that puncture the story like 'needles', threading its elements together."
elucidate,"*words, whole",360,詮,13,セン,,To ELUCIDATE something is to present it in 'words' that are 'whole'.
prison,"*a pack of wild dogs, *words, *chihuahua",361,獄,14,ゴク,,"This picture of a PRISON shows hardened criminals as a 'pack of wild dogs', separated from the vulnerable new inmate, a yapping 'chihuahua', only by the latter's frantic 'words'."
revise,"*words, *nail",362,訂,9,テイ,,"After completing a first draft, you REVISE it by nailing down your words, presumably with 'word' - 'nails'."
obituary,"*words, magic wand",363,訃,9,フ,,A great OBITUARY is an act of 'word' 'magic' that almost seems to bring the departed back to life.
chastise,"*words, *glue",364,討,10,トウ,う・つ,CHASTISEMENTS are the 'words' that most stick to us like 'glue'.
instruction,"*words, stream",365,訓,10,クン,,"INSTRUCTION denotes the 'words' that lead along the 'stream' to success (think of the etymology of the English word, which literally means 'pour into')."
imperial edict,"*words, seduce",366,詔,12,ショウ,みことのり,An IMPERIAL EDICT is little more than 'words' to 'seduce' the people to the emperor's personality cult. A Marxist surely coined this particular kanji.
packed,"*words, *aerosol can",367,詰,13,キツ,つ・める　　つ・まる　　つ・む,A 'word' that is PACKED with meaning must be sealed tight like an 'aerosol can' to prevent all that meaning from escaping.
tale,"*words, tongue",368,話,13,ワ,はなし　　はな・す,"Znapfians call TALES 'words' of the 'tongue', because they are so much better heard than read."
recitation,"*words, eternity",369,詠,12,エイ,よ・む,RECITATIONS help us bear the 'words' of yore into 'eternity'.
poem,"*words, Buddhist temple",370,詩,13,シ,,The first Japanese POEMS were 'words' of the 'Buddhist temple' - religious verse in praise of God.
